,Address,City,Owner Name,Mailing Address,Price,Number of Units,Total area,Number Of Stories,Lot Size,Type,Year Built,location,point,latitude,longitude,altitude
6783,"1701 NW Upas Avenue, Redmond, OR, 97756","Redmond, OR 97756 ·",,,3450000.0, , , ,55 AC,Land, ,"1701 NW Upas Ave, Redmond, OR 97756, USA","['44.30531240000001', '-121.186971', '0.0']",44.30531240000001,-121.186971,0.0
6784,"777 Port Ave., Saint Helens, OR, 97051","Saint Helens, OR 97051 ·",,,3600000.0, ,100000, ,18.15 AC,Industrial, ,"777 Port Ave, St Helens, OR 97051, USA","['45.8505924', '-122.821024', '0.0']",45.8505924,-122.821024,0.0
6785,"61021 S Hwy 97, Bend, OR, 97702","Bend, OR 97702 ·",,,4000000.0, , , ,16 AC,Land, ,"61021 S Hwy 97, Bend, OR 97702, USA","['44.016473', '-121.3224329', '0.0']",44.016473,-121.3224329,0.0
6786,"2400 S Louis Lane, Eugene, OR, 97405","Eugene, OR 97405 ·",,,3950000.0, , , ,33 AC,Land, ,"2400 S Louis Ln, Eugene, OR 97405, USA","['44.031339', '-123.157368', '0.0']",44.031339,-123.157368,0.0
6787,"22100 Riverwood Rd, Dundee, OR, 97115","Dundee, OR 97115 ·",,,4780000.0, , , ,319.70 AC,Agricultural, ,"22100 Riverwood Rd, Dundee, OR 97115, USA","['45.234797', '-123.0046171', '0.0']",45.234797,-123.0046171,0.0
6788,"12800 NW Marina Way, Portland, OR, 97231","Portland, OR 97231 ·",,,3500000.0, ,3500, ,16.68 AC,Special Purpose, ,"12800 NW Marina Way, Portland, OR 97231, USA","['45.61761', '-122.8033729', '0.0']",45.61761,-122.8033729,0.0
6789,"63776 Mullen Road, Coos Bay, OR, 97420","Coos Bay, OR 97420 ·",,,11990000.0, ,55000, ,28.44 AC,Industrial, ,"63776 Mullen Rd, Coos Bay, OR 97420, USA","['43.3555183', '-124.2026914', '0.0']",43.3555183,-124.2026914,0.0
6790,"18615 SW Boones Ferry Road, Tualatin, OR, 97062","Tualatin, OR 97062 ·",,,3200000.0, , , ,3.12 AC,Land, ,"18615 SW Boones Ferry Rd, Tualatin, OR 97062, USA","['45.385008', '-122.760462', '0.0']",45.385008,-122.760462,0.0
6791,"401 N 26th Ave, Cornelius, OR, 97113","Cornelius, OR 97113 ·",,,3799000.0, ,59682, ,6.70 AC,Retail, ,"401 N 26th Ave, Cornelius, OR 97113, USA","['45.5229445', '-123.0408771', '0.0']",45.5229445,-123.0408771,0.0
6792,1121,"Portland, OR 97209 ·",,,3500000.0, ,14000, ,"8,183 SF",Office, ,"1121 E State Blvd, Fort Wayne, IN 46805, USA","['41.0968348', '-85.12417529999999', '0.0']",41.0968348,-85.12417529999999,0.0
6793,"1010 SW Coast Highway, Newport, OR, 97365","Newport, OR 97365 ·",,,4440000.0, ,23266,3,3.70 AC,Office,1983,"1010 SW Coast Hwy, Newport, OR 97365, USA","['44.6270719', '-124.0622592', '0.0']",44.6270719,-124.0622592,0.0
6794,"4421 NE Columbia Blvd., Portland, OR, 97218","Portland, OR 97218 ·",,,20500000.0, ,264166, ,30.64 AC,Industrial, ,"4421 NE Columbia Blvd, Portland, OR 97218, USA","['45.5722817', '-122.6189178', '0.0']",45.5722817,-122.6189178,0.0
6795,"20725 SE Reed Market Rd, Bend, OR, 97702","Bend, OR 97702 ·",,,4500000.0, , , ,4.65 - 8.20 AC,Land, ,"20725 SE Reed Market Rd, Bend, OR 97702, USA","['44.036015', '-121.287351', '0.0']",44.036015,-121.287351,0.0
6796,"10675 SW Manhasset Drive, Tualatin, OR, 97062","Tualatin, OR 97062 ·",,,4850000.0, ,60087, ,3.26 AC,Industrial, ,"10675 SW Manhasset Dr, Tualatin, OR 97062, USA","['45.38041279999999', '-122.7867984', '0.0']",45.38041279999999,-122.7867984,0.0
6797,"Jackson School Rd off of US 26, Hillsboro, OR, 97124","Hillsboro, OR 97124 ·",,,39204000.0, , , ,20 - 225 AC,Land, ,"NE Jackson School Rd, Hillsboro, OR 97124, USA","['45.5395037', '-122.9796341', '0.0']",45.5395037,-122.9796341,0.0
6798,"19921 Whaleshead Rd, Brookings, OR, 97415","Brookings, OR 97415 ·",,,8995000.0, , , ,40.13 AC,Multifamily, ,"19921 Whaleshead Rd, Brookings, OR 97415, USA","['42.1471472', '-124.3534056', '0.0']",42.1471472,-124.3534056,0.0
6799,"608-624 NE 87th Ave & 714 NE 87th Ave, Portland, OR, 97220","Portland, OR 97220 ·",,,12250000.0,75,71586, , ,Multifamily, ,"714 NE 87th Ave, Portland, OR 97220, USA","['45.5283525', '-122.5728631', '0.0']",45.5283525,-122.5728631,0.0
6800,"4601 Carnes Road, Roseburg, OR, 97470","Roseburg, OR 97470 ·",,,3200000.0, , , , ,Retail, ,"4601 Carnes Rd, Roseburg, OR 97470, USA","['43.1471321', '-123.3796867', '0.0']",43.1471321,-123.3796867,0.0
